,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,number,street,city,district,postcode,latGold,lonGold
19,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
20,11582,11582,11582,        87,MANUEL FELIX DE LIMA,SAO PAULO,JARDIM HELENA,,-23.478051,-46.384025
21,299,299,299,10022,PLINIO DIAS,SAO PAULO,JARDIM ANGELA,,-23.738639,-46.796116
22,5026,5026,5026,2,RUA DOIS,SAO PAULO,PARELHEIROS,,-23.87856,-46.651063
23,203,203,203,101,RUA ENRIQUE AMORIM,SAO PAULO,PARELHEIROS,,-23.867041,-46.75333
24,1149,1149,1149,13,ALGARD,SAO PAULO,CAPAO REDONDO,,-23.676041,-46.785333
25,7007,7007,7007,145,RUA SALVADOR DE PAIVA,SAO PAULO,SAO RAFAEL,,-23.629279,-46.47421
26,1037,1037,1037,SN,PORTUNHOS,SAO PAULO,GRAJAU,,-23.754273,-46.677856
27,7364,7364,7364,10,DOS LIRIOS,SAO PAULO,SAO RAFAEL,,-23.638449,-46.447187
28,4451,4451,4451,9,UBERLANDIA,SAO PAULO,ANHANGUERA,,-23.43684,-46.772988
29,5031,5031,5031,         2,AMIZADE,SAO PAULO,GRAJAU,,-23.806643,-46.640582
