number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,Google,2932608,-23.602055,-46.7838672,,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,Here,2932608,-23.60211,-46.78378,0.95,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2932608,MapBox,2932608,-23.602231,-46.783634,0.87963,"SP, RUA ENGENHEIRO HUGO TAKAHASHI, 333, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,MapBox,2932609,-23.610855,-46.455773,0.79037,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,Google,2932609,-23.5557714,-46.6395571,,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,OpenRouteService,2932609,-23.570533,-46.663713,0.6,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932609,Here,2932609,-23.46652,-46.58925,1.0,"SP, AMIZADE,          2, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,Here,2932610,-23.88093,-46.62635,1.0,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,MapBox,2932610,-23.8924383,-46.6174,0.696429,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,OpenRouteService,2932610,-23.570533,-46.663713,0.6,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2932610,Google,2932610,-23.8747448,-46.631251,,"SP, ESTRADA DO CURUCUTU, SN, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,MapBox,2932611,-23.566052,-46.545168,0.87037,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,OpenRouteService,2932611,-23.667305,-46.779298,1.0,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,Google,2932611,-23.5655807,-46.54643220000001,,"SP, RUA TIRANA, 34, SAO PAULO"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2932611,Here,2932611,-23.56561,-46.54644,1.0,"SP, RUA TIRANA, 34, SAO PAULO"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2932612,MapBox,2932612,-23.552921,-46.7204,0.87963,"SP, AVENIDA DAS NACOES UNIDAS, 1501, SAO PAULO"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2932612,Google,2932612,-23.5321979,-46.7477254,,"SP, AVENIDA DAS NACOES UNIDAS, 1501, SAO PAULO"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2932612,OpenRouteService,2932612,-23.5866,-46.690499,0.8,"SP, AVENIDA DAS NACOES UNIDAS, 1501, SAO PAULO"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2932612,Here,2932612,-23.53238,-46.74735,1.0,"SP, AVENIDA DAS NACOES UNIDAS, 1501, SAO PAULO"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2932613,OpenRouteService,2932613,-23.570533,-46.663713,0.6,"SP, JAPICHAUA, 313, SAO PAULO"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2932613,Here,2932613,-23.60723,-46.60789,0.86,"SP, JAPICHAUA, 313, SAO PAULO"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2932613,MapBox,2932613,-23.481615,-46.469956,0.79037,"SP, JAPICHAUA, 313, SAO PAULO"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2932613,Google,2932613,-23.4817218,-46.4705257,,"SP, JAPICHAUA, 313, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932614,Here,2932614,-23.46652,-46.58925,1.0,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932614,MapBox,2932614,-23.610855,-46.455773,0.79037,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932614,Google,2932614,-23.5557714,-46.6395571,,"SP, AMIZADE,          2, SAO PAULO"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2932614,OpenRouteService,2932614,-23.570533,-46.663713,0.6,"SP, AMIZADE,          2, SAO PAULO"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2932615,Google,2932615,-23.8396012,-46.7344921,,"SP, RUA BENJAMIM DIEMAR, 266, SAO PAULO"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2932615,OpenRouteService,2932615,-23.667305,-46.779298,1.0,"SP, RUA BENJAMIM DIEMAR, 266, SAO PAULO"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2932615,Here,2932615,-23.4857,-46.63533,0.79,"SP, RUA BENJAMIM DIEMAR, 266, SAO PAULO"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2932615,MapBox,2932615,-23.839478,-46.734139,0.875661,"SP, RUA BENJAMIM DIEMAR, 266, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932616,OpenRouteService,2932616,-23.570533,-46.663713,0.6,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932616,Google,2932616,-23.4844128,-46.49832050000001,,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932616,MapBox,2932616,-23.484366,-46.498309,0.875661,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2932616,Here,2932616,-23.63813,-46.73741,0.73,"SP, BATUIRA DO CAMPO, 49, SAO PAULO"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2932617,OpenRouteService,2932617,-23.570533,-46.663713,0.6,"SP, FRANCISCO MENDES, 238, SAO PAULO"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2932617,Here,2932617,-23.67135,-46.70855,1.0,"SP, FRANCISCO MENDES, 238, SAO PAULO"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2932617,MapBox,2932617,-23.67135,-46.708699,0.788889,"SP, FRANCISCO MENDES, 238, SAO PAULO"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2932617,Google,2932617,-23.667887,-46.7107246,,"SP, FRANCISCO MENDES, 238, SAO PAULO"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2932618,Here,2932618,-23.4809,-46.66181,1.0,"SP, RUA MENDONCA JUNIOR, 80, SAO PAULO"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2932618,OpenRouteService,2932618,-23.667305,-46.779298,1.0,"SP, RUA MENDONCA JUNIOR, 80, SAO PAULO"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2932618,Google,2932618,-23.4808356,-46.6617442,,"SP, RUA MENDONCA JUNIOR, 80, SAO PAULO"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2932618,MapBox,2932618,-23.480891,-46.661855,0.875661,"SP, RUA MENDONCA JUNIOR, 80, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932619,Here,2932619,-23.61048,-46.64295,1.0,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932619,MapBox,2932619,-23.610426,-46.64296,0.87037,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932619,OpenRouteService,2932619,-23.570533,-46.663713,0.6,"SP, DOS LIRIOS, 10, SAO PAULO"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2932619,Google,2932619,-23.5557714,-46.6395571,,"SP, DOS LIRIOS, 10, SAO PAULO"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2932620,Here,2932620,-23.48197,-46.38222,1.0,"SP, MANUEL FELIX DE LIMA,         87, SAO PAULO"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2932620,OpenRouteService,2932620,-23.570533,-46.663713,0.6,"SP, MANUEL FELIX DE LIMA,         87, SAO PAULO"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2932620,Google,2932620,-23.4820461,-46.3822127,,"SP, MANUEL FELIX DE LIMA,         87, SAO PAULO"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2932620,MapBox,2932620,-23.4821,-46.38231,0.87963,"SP, MANUEL FELIX DE LIMA,         87, SAO PAULO"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2932621,OpenRouteService,2932621,-23.570533,-46.663713,0.6,"SP, PLINIO DIAS, 10022, SAO PAULO"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2932621,MapBox,2932621,-23.739479,-46.793462,0.788889,"SP, PLINIO DIAS, 10022, SAO PAULO"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2932621,Here,2932621,-23.73736,-46.79593,0.8,"SP, PLINIO DIAS, 10022, SAO PAULO"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2932621,Google,2932621,-23.739473,-46.7934549,,"SP, PLINIO DIAS, 10022, SAO PAULO"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2932622,MapBox,2932622,-23.508085,-46.38678,0.87037,"SP, RUA DOIS, 2, SAO PAULO"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2932622,Google,2932622,-23.6955796,-46.6420045,,"SP, RUA DOIS, 2, SAO PAULO"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2932622,Here,2932622,-23.67553,-46.7712,0.99,"SP, RUA DOIS, 2, SAO PAULO"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2932622,OpenRouteService,2932622,-23.655236,-46.729993,0.8,"SP, RUA DOIS, 2, SAO PAULO"
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,2932623,MapBox,2932623,-23.8676124,-46.7560816,0.696429,"SP, RUA ENRIQUE AMORIM, 101, SAO PAULO"
