number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,Google,2922600,-23.8708601,-46.6766266,,"JANE VANINE CAPOZI,         45, SAO PAULO, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,OpenRouteService,2922600,-23.870566,-46.67688,0.8,"JANE VANINE CAPOZI,         45, SAO PAULO, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,MapBox,2922600,-23.870596,-46.676843,1.0,"JANE VANINE CAPOZI,         45, SAO PAULO, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2922600,Here,2922600,-23.87114,-46.67653,1.0,"JANE VANINE CAPOZI,         45, SAO PAULO, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,Here,2922601,-23.61048,-46.64295,1.0,"DOS LIRIOS, 10, SAO PAULO, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,MapBox,2922601,-23.610426,-46.64296,1.0,"DOS LIRIOS, 10, SAO PAULO, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,Google,2922601,-23.6399722,-46.4462197,,"DOS LIRIOS, 10, SAO PAULO, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2922601,OpenRouteService,2922601,-23.538679,-46.468242,0.8,"DOS LIRIOS, 10, SAO PAULO, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,Here,2922602,-23.47564,-46.42769,1.0,"ANTONIO XAVIER, 81, SAO PAULO, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,Google,2922602,-23.4755153,-46.4277542,,"ANTONIO XAVIER, 81, SAO PAULO, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2922602,MapBox,2922602,-23.475535,-46.427739,1.0,"ANTONIO XAVIER, 81, SAO PAULO, SP"
