,Unnamed: 0,IDEND,ID_EDC,ID_LOGRADOURO,SIGLA_TIPO_LOGRADOURO,DESC_TIPO_LOGRADOURO,NOME_LOGRADOURO,NUMERO_IMOVEL,LETRA_IMOVEL,ID_BAIRRO_POPULAR,NUM_BAIRRO_POPULAR,NOME_BAIRRO_POPULAR,ID_BAIRRO_OFICIAL,NUM_BAIRRO_OFICIAL,TIPO_BAIRRO_OFICIAL,NOME_BAIRRO_OFICIAL,ID_REGIONAL,NOME_REGIONAL,CEP,GEOMETRIA,LONGITUDE,LATITUDE
865,38595,03446401385,855363,34464,RUA,RUA,MANJERICAO,1385,,97,714,Lindéia,290,639,Bairro,Lindéia,1,BARREIRO,30690510.0,"(-19.973073039968025, -44.0535511239095)",-19.973073039968025,-44.0535511239095
866,380211,05989100305,460630,59891,RUA,RUA,SAI,305,,8,609,Graça,285,380,Bairro,Concórdia,4,NORDESTE,31140210.0,"(-19.898196348427955, -43.93390471924991)",-19.898196348427955,-43.93390471924991
867,755469,01238100104,836365,12381,RUA,RUA,RADIALISTA EMILIO CURTIS,104,,38,643,Céu Azul,12,988,Bairro,Céu Azul,9,VENDA NOVA,31578470.0,"(-19.81400153045173, -44.00856092712406)",-19.81400153045173,-44.00856092712406
868,610059,30387400141,663606,303874,RUA,RUA,CRISTIANO DE ALMEIDA,141,,220,1140,Bonsucesso,248,911,Bairro,Bonsucesso,1,BARREIRO,30622755.0,"(-19.99448072075369, -43.981435972751036)",-19.99448072075369,-43.98143597275104
869,618915,05980700722A,692926,59807,RUA,RUA,SACADURA CABRAL,722,A,361,1369,Oeste,150,234,Bairro,Jardinópolis,7,OESTE,30532060.0,"(-19.937339220877774, -44.00719550681408)",-19.93733922087777,-44.00719550681408
870,414751,08600400194,100012,86004,RUA,RUA,DONA LUCI,194,,222,1142,Parque São José,257,478,Bairro,Cinqüentenário,7,OESTE,30575380.0,"(-19.967041936014166, -43.98097697054891)",-19.96704193601417,-43.98097697054891
871,391562,09558900555,466974,95589,RUA,RUA,HENRIQUETA LISBOA,555,,204,831,Jardim Vitória,67,776,Bairro,Vitória,4,NORDESTE,31970330.0,"(-19.858158597053066, -43.87867929542049)",-19.858158597053063,-43.87867929542049
872,739887,30435100038,879425,304351,RUA,RUA,FLOR DO CAMPO,38,,259,1247,Tupi B,41,967,Bairro,Tupi,6,NORTE,31842688.0,"(-19.823684128620606, -43.915130082741804)",-19.82368412862061,-43.91513008274181
873,486325,08798700017,537207,87987,RUA,RUA,CLEMENTINO VIANA DOTTI,17,,18,623,Buritis,212,171,Bairro,dos Buritis,7,OESTE,30575130.0,"(-19.972859147657264, -43.967969879086965)",-19.972859147657264,-43.967969879086965
874,506267,01032000066,541191,10320,ROD,RODOVIA,ANEL RODOVIARIO CELSO MELLO AZEVEDO,66,,13,618,Belvedere,209,122,Bairro,Belvedere,7,OESTE,30390085.0,"(-19.996626873886164, -43.960353791298054)",-19.996626873886164,-43.96035379129805
875,373201,08009201156,372141,80092,ROD,RODOVIA,PRESIDENTE JUSCELINO KUBITSCHEK,1156,,484,1494,Serra do Curral,249,488,Bairro,do Pilar,1,BARREIRO,30855500.0,"(-20.00271013491341, -43.96577639353343)",-20.00271013491341,-43.96577639353343
876,497452,00446107002C,493558,4461,AVE,AVENIDA,PRESIDENTE ANTONIO CARLOS,7002,C,454,1463,Vila Santo Antônio,55,339,Bairro,Liberdade,8,PAMPULHA,31270218.0,"(-19.861529205196952, -43.95822649415325)",-19.861529205196952,-43.95822649415325
877,274750,30426700008,300160,304267,RUA,RUA,DA HORTA,8,,260,1251,Vila Ecológica,227,634,Bairro,Independência,1,BARREIRO,30670570.0,"(-20.01223140341061, -44.020449477693084)",-20.01223140341061,-44.02044947769309
878,458056,03806100037,63439,38061,RUA,RUA,SEBASTIAO FABIANO DIAS,37,,13,618,Belvedere,209,122,Bairro,Belvedere,2,CENTRO-SUL,30320690.0,"(-19.977263118275758, -43.94321256064331)",-19.97726311827576,-43.94321256064331
879,21183,01032013325,897531,10320,ROD,RODOVIA,ANEL RODOVIARIO CELSO MELLO AZEVEDO,13325,,163,787,Jardim São José,130,807,Bairro,Inconfidência,8,PAMPULHA,30820115.0,"(-19.906268887046608, -43.990412290882446)",-19.906268887046608,-43.990412290882446
880,626873,12026300300,693506,120263,RUA,RUA,NOSSA SENHORA DE LOURDES,300,,119,737,Olhos d'Água,249,488,Bairro,do Pilar,7,OESTE,30390530.0,"(-19.992449446898824, -43.95980893603757)",-19.992449446898824,-43.95980893603757
881,56196,12281001154,538338,122810,RUA,RUA,JORNALISTA DJALMA ANDRADE,1154,,13,618,Belvedere,209,122,Bairro,Belvedere,2,CENTRO-SUL,30320595.0,"(-19.974392603063013, -43.93344930180644)",-19.974392603063013,-43.93344930180644
