number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,OpenRouteService,2917600,-23.570533,-46.663713,1.0,"SAO PAULO, JANE VANINE CAPOZI,         45, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,Google,2917600,-23.8708601,-46.6766266,,"SAO PAULO, JANE VANINE CAPOZI,         45, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,Here,2917600,-23.87114,-46.67653,1.0,"SAO PAULO, JANE VANINE CAPOZI,         45, SP"
        45,JANE VANINE CAPOZI,SAO PAULO,-23.868805,-46.678967,2917600,MapBox,2917600,-23.870596,-46.676843,0.865661,"SAO PAULO, JANE VANINE CAPOZI,         45, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,OpenRouteService,2917601,-23.570533,-46.663713,1.0,"SAO PAULO, DOS LIRIOS, 10, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,MapBox,2917601,-23.610426,-46.64296,0.86037,"SAO PAULO, DOS LIRIOS, 10, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,Here,2917601,-23.61048,-46.64295,1.0,"SAO PAULO, DOS LIRIOS, 10, SP"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2917601,Google,2917601,-23.5557714,-46.6395571,,"SAO PAULO, DOS LIRIOS, 10, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,Here,2917602,-23.47564,-46.42769,1.0,"SAO PAULO, ANTONIO XAVIER, 81, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,MapBox,2917602,-23.475535,-46.427739,0.86037,"SAO PAULO, ANTONIO XAVIER, 81, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,Google,2917602,-23.4755153,-46.4277542,,"SAO PAULO, ANTONIO XAVIER, 81, SP"
81,ANTONIO XAVIER,SAO PAULO,-23.475623,-46.427649,2917602,OpenRouteService,2917602,-23.570533,-46.663713,1.0,"SAO PAULO, ANTONIO XAVIER, 81, SP"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,Here,2917603,-23.47932,-46.65392,1.0,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,OpenRouteService,2917603,-23.73912,-46.607357,1.0,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,Google,2917603,-23.4791841,-46.654052,,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP"
259,RUA RIBEIRO JUNQUEIRA,SAO PAULO,-23.479475,-46.653269,2917603,MapBox,2917603,-23.478828,-46.654074,0.865661,"SAO PAULO, RUA RIBEIRO JUNQUEIRA, 259, SP"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,Here,2917604,-23.69307,-46.79562,1.0,"SAO PAULO, PEROBEIRAS, 738, SP"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,MapBox,2917604,-23.566603,-46.301805,0.808519,"SAO PAULO, PEROBEIRAS, 738, SP"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,Google,2917604,-23.693093,-46.7955523,,"SAO PAULO, PEROBEIRAS, 738, SP"
738,PEROBEIRAS,SAO PAULO,-23.693233,-46.795505,2917604,OpenRouteService,2917604,-20.88587,-47.597952,1.0,"SAO PAULO, PEROBEIRAS, 738, SP"
