number,street,city,latGold,lonGold,id,geoapi_id,request_id,lat,long,accuracy,endereço
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2927608,OpenRouteService,2927608,-23.602691,-46.785,0.8,"SP, SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2927608,MapBox,2927608,-23.602231,-46.783634,0.99,"SP, SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333"
333,RUA ENGENHEIRO HUGO TAKAHASHI,SAO PAULO,-23.602643,-46.786232,2927608,Google,2927608,-23.602055,-46.7838672,,"SP, SAO PAULO, RUA ENGENHEIRO HUGO TAKAHASHI, 333"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927609,OpenRouteService,2927609,-23.522392,-46.593147,1.0,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927609,Google,2927609,-23.5557714,-46.6395571,,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927609,Here,2927609,-23.46652,-46.58925,1.0,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927609,MapBox,2927609,-23.610855,-46.455773,0.917407,"SP, SAO PAULO, AMIZADE,          2"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2927610,MapBox,2927610,-23.8924383,-46.6174,0.787619,"SP, SAO PAULO, ESTRADA DO CURUCUTU, SN"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2927610,Google,2927610,-23.8747448,-46.631251,,"SP, SAO PAULO, ESTRADA DO CURUCUTU, SN"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2927610,OpenRouteService,2927610,-23.874733,-46.631169,0.8,"SP, SAO PAULO, ESTRADA DO CURUCUTU, SN"
SN,ESTRADA DO CURUCUTU,SAO PAULO,-23.87646,-46.633957,2927610,Here,2927610,-23.88093,-46.62635,1.0,"SP, SAO PAULO, ESTRADA DO CURUCUTU, SN"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2927611,Here,2927611,-23.56561,-46.54644,1.0,"SP, SAO PAULO, RUA TIRANA, 34"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2927611,OpenRouteService,2927611,-12.85636,-38.475357,0.8,"SP, SAO PAULO, RUA TIRANA, 34"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2927611,MapBox,2927611,-23.566052,-46.545168,0.99,"SP, SAO PAULO, RUA TIRANA, 34"
34,RUA TIRANA,SAO PAULO,-23.565428,-46.547746,2927611,Google,2927611,-23.5655807,-46.54643220000001,,"SP, SAO PAULO, RUA TIRANA, 34"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2927612,Google,2927612,-23.5321979,-46.7477254,,"SP, SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2927612,OpenRouteService,2927612,-23.690238,-46.563021,0.8,"SP, SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2927612,MapBox,2927612,-23.552921,-46.7204,0.99,"SP, SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501"
1501,AVENIDA DAS NACOES UNIDAS,SAO PAULO,-23.537799,-46.741184,2927612,Here,2927612,-23.53238,-46.74735,1.0,"SP, SAO PAULO, AVENIDA DAS NACOES UNIDAS, 1501"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2927613,Here,2927613,-23.60723,-46.60789,0.86,"SP, SAO PAULO, JAPICHAUA, 313"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2927613,OpenRouteService,2927613,-23.522392,-46.593147,1.0,"SP, SAO PAULO, JAPICHAUA, 313"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2927613,MapBox,2927613,-23.481615,-46.469956,0.917407,"SP, SAO PAULO, JAPICHAUA, 313"
313,JAPICHAUA,SAO PAULO,-23.481621,-46.470061,2927613,Google,2927613,-23.4817218,-46.4705257,,"SP, SAO PAULO, JAPICHAUA, 313"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927614,MapBox,2927614,-23.610855,-46.455773,0.917407,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927614,Here,2927614,-23.46652,-46.58925,1.0,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927614,OpenRouteService,2927614,-23.522392,-46.593147,1.0,"SP, SAO PAULO, AMIZADE,          2"
         2,AMIZADE,SAO PAULO,-23.806643,-46.640582,2927614,Google,2927614,-23.5557714,-46.6395571,,"SP, SAO PAULO, AMIZADE,          2"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2927615,Google,2927615,-23.8396012,-46.7344921,,"SP, SAO PAULO, RUA BENJAMIM DIEMAR, 266"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2927615,MapBox,2927615,-23.839478,-46.734139,0.99,"SP, SAO PAULO, RUA BENJAMIM DIEMAR, 266"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2927615,Here,2927615,-23.50531,-46.4265,0.8,"SP, SAO PAULO, RUA BENJAMIM DIEMAR, 266"
266,RUA BENJAMIM DIEMAR,SAO PAULO,-23.839513,-46.736228,2927615,OpenRouteService,2927615,-23.522392,-46.593147,1.0,"SP, SAO PAULO, RUA BENJAMIM DIEMAR, 266"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927616,MapBox,2927616,-23.484366,-46.498309,0.99,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927616,Google,2927616,-23.4844128,-46.49832050000001,,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927616,OpenRouteService,2927616,-23.420332,-51.438213,1.0,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
49,BATUIRA DO CAMPO,SAO PAULO,-23.478662,-46.494123,2927616,Here,2927616,-23.63813,-46.73741,0.73,"SP, SAO PAULO, BATUIRA DO CAMPO, 49"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2927617,OpenRouteService,2927617,-23.522392,-46.593147,1.0,"SP, SAO PAULO, FRANCISCO MENDES, 238"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2927617,Here,2927617,-23.48459,-46.56956,0.68,"SP, SAO PAULO, FRANCISCO MENDES, 238"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2927617,Google,2927617,-23.667887,-46.7107246,,"SP, SAO PAULO, FRANCISCO MENDES, 238"
238,FRANCISCO MENDES,SAO PAULO,-23.67025,-46.709448,2927617,MapBox,2927617,-23.67135,-46.708699,0.908519,"SP, SAO PAULO, FRANCISCO MENDES, 238"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2927618,OpenRouteService,2927618,-23.478836,-46.663411,0.8,"SP, SAO PAULO, RUA MENDONCA JUNIOR, 80"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2927618,MapBox,2927618,-23.480891,-46.661855,0.99,"SP, SAO PAULO, RUA MENDONCA JUNIOR, 80"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2927618,Here,2927618,-23.4809,-46.66181,1.0,"SP, SAO PAULO, RUA MENDONCA JUNIOR, 80"
80,RUA MENDONCA JUNIOR,SAO PAULO,-23.480931,-46.661762,2927618,Google,2927618,-23.4808356,-46.6617442,,"SP, SAO PAULO, RUA MENDONCA JUNIOR, 80"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927619,Google,2927619,-23.5557714,-46.6395571,,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927619,Here,2927619,-23.61048,-46.64295,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927619,MapBox,2927619,-23.610426,-46.64296,0.99,"SP, SAO PAULO, DOS LIRIOS, 10"
10,DOS LIRIOS,SAO PAULO,-23.638449,-46.447187,2927619,OpenRouteService,2927619,-23.522392,-46.593147,1.0,"SP, SAO PAULO, DOS LIRIOS, 10"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2927620,Google,2927620,-23.4820461,-46.3822127,,"SP, SAO PAULO, MANUEL FELIX DE LIMA,         87"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2927620,Here,2927620,-23.48197,-46.38222,1.0,"SP, SAO PAULO, MANUEL FELIX DE LIMA,         87"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2927620,OpenRouteService,2927620,-23.522392,-46.593147,1.0,"SP, SAO PAULO, MANUEL FELIX DE LIMA,         87"
        87,MANUEL FELIX DE LIMA,SAO PAULO,-23.478051,-46.384025,2927620,MapBox,2927620,-23.4821,-46.38231,0.99,"SP, SAO PAULO, MANUEL FELIX DE LIMA,         87"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2927621,MapBox,2927621,-23.739479,-46.793462,0.908519,"SP, SAO PAULO, PLINIO DIAS, 10022"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2927621,Here,2927621,-23.73736,-46.79593,0.8,"SP, SAO PAULO, PLINIO DIAS, 10022"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2927621,OpenRouteService,2927621,-23.522392,-46.593147,1.0,"SP, SAO PAULO, PLINIO DIAS, 10022"
10022,PLINIO DIAS,SAO PAULO,-23.738639,-46.796116,2927621,Google,2927621,-23.739473,-46.7934549,,"SP, SAO PAULO, PLINIO DIAS, 10022"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2927622,Google,2927622,-23.6955796,-46.6420045,,"SP, SAO PAULO, RUA DOIS, 2"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2927622,OpenRouteService,2927622,-3.010917,-59.97123,0.8,"SP, SAO PAULO, RUA DOIS, 2"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2927622,Here,2927622,-23.66306,-46.73891,0.94,"SP, SAO PAULO, RUA DOIS, 2"
2,RUA DOIS,SAO PAULO,-23.87856,-46.651063,2927622,MapBox,2927622,-23.5422315,-46.4224958,0.777037,"SP, SAO PAULO, RUA DOIS, 2"
101,RUA ENRIQUE AMORIM,SAO PAULO,-23.867041,-46.75333,2927623,Here,2927623,-23.86747,-46.7558,0.98,"SP, SAO PAULO, RUA ENRIQUE AMORIM, 101"
